country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,source,url,geolocation_source,wepp_id,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,estimated_generation_gwh
USA,United States of America,KRS II Koloa Solar,USA0058640,13.5,21.9008,-159.45,Solar,Storage,,,2014,Kauai Island Utility Cooperative,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,10.412,18.014,0,21.813,
USA,United States of America,KS Solar Six LLC,USA0059468,2.5,42.4708,-72.045,Solar,,,,2014,Kearsarge Solar LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,69226,2017,,2.924,3.06,3.256,2.923,
USA,United States of America,KSS Turbines LLC,USA0056627,4,43.6247,-95.4314,Wind,,,,2008,Ewington Wind Project,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,13.647,14.635,14.367,13.563,13.37,
USA,United States of America,Kahe,USA0000765,609.7,21.3564,-158.1289,Oil,,,,1972.098409,Hawaiian Electric Co Inc,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,21898,2017,0,0,0,0,2485.543,
USA,United States of America,Kaheawa Pastures Wind Farm,USA0056449,30,20.8142,-156.551,Wind,,,,2006,First Wind O&M  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,45688,2017,101.51,108.98,110.677,110.484,90.327,
USA,United States of America,Kaheawa Wind Power II LLC,USA0057082,31,20.7947,-156.536,Wind,Storage,,,2012,First Wind O&M  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,0,0,65.878,0,66.732,
USA,United States of America,Kaheka Hydro,USA0055864,4.5,20.8886,-156.3569,Hydro,,,,1925,Alexander & Baldwin  Inc.,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,48726,2017,8.23779,17.82792,17.88831,2.737,3.249,
USA,United States of America,Kahoka,USA0002138,7.4,40.4225,-91.7206,Oil,Gas,,,1980.189189,City of Kahoka,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,23775,2017,0,0.001,0.008,0.008,0.009,
USA,United States of America,Kahuku Wind Power LLC,USA0057087,30,21.681,-157.975,Wind,,,,2011,First Wind O&M  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,61392,2017,0,67.666,78.906,90.127,71.266,
USA,United States of America,Kahului,USA0006056,34,20.8969,-156.4627,Oil,,,,1956.941176,Maui Electric Co Ltd,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,25777,2017,0,0,0,0,161.032,
USA,United States of America,Kaiser Downey,USA0058128,1,33.9192,-118.1286,Waste,Gas,,,2012,Bloom Energy 2009 PPA,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,62995,2017,7.97247,5.38758,3.387,0.004,8.32194,
USA,United States of America,Kaiser Ontario,USA0058132,1,34.0325,-117.6089,Biomass,Gas,,,2012,Bloom Energy 2009 PPA,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,68290,2017,7.93782,6.97554,4.238,0.004,8.455,
