country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,commissioning_year,owner,source,url,geolocation_source,wepp_id,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017
USA,United States of America,Hoosier Wind Project LLC,USA0056878,106,40.7178,-87.2631,Wind,2009,EDF Renewable Asset Holdings  Inc.,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,58320,2017,117.549,115.29,180.53,213.407,246.616
USA,United States of America,Hope Creek LLC,USA0055572,1.9,44.2275,-96.2192,Wind,2001,CHI Operations Inc,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,6.044,6.875,6.375,5.855,5.161
USA,United States of America,Hopkins Ridge Wind,USA0056255,156.6,46.4211,-117.8331,Wind,2005,Puget Sound Energy Inc,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,53714,2017,404.14,453.219,362.253,415.07,342.81
USA,United States of America,Horse Butte Wind I  LLC,USA0057890,57.6,43.3864,-111.7264,Wind,2012,Utah Associated Mun Power Sys,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,62628,2017,132.629,164.441,146.002,177.234,171.099
USA,United States of America,Horse Creek Wind Farm,USA0060339,230,33.35,-99.54,Wind,2016,Horse Creek Wind  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,,168.713,851.54
USA,United States of America,Horse Hollow Wind Energy Center,USA0056291,735.5,32.214,-100.0571,Wind,2006,FPL Energy Horse Hollow LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,54187,2017,1463.404,2309.1,1965.895,2159.583,1972.964
USA,United States of America,Horseshoe Bend Wind LLC,USA0057550,290,45.5855,-120.0082,Wind,2012,Caithness Shepherds Flat LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,612.275,652.343,568.072,612.344,519.051
USA,United States of America,Horseshoe Bend Wind Park,USA0056591,9,47.4983,-111.4392,Wind,2006,Cycle Power Partners,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,65976,2017,24.62,22.928,20.016,22.27,11.478
USA,United States of America,Howard Wind Farm,USA0057867,59.5,42.3153,-77.5383,Wind,2012,Everpower Wind Holdings Inc,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,50320,2017,133.81,133.174,128.561,133.297,133.463
USA,United States of America,Huerfano River Wind,USA0058548,8,37.7722,-104.8322,Wind,2013,Huerfano River Wind  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,6.327,15.808,15.201,17.115,16.561
